model_type,training_step,mean_reward,std_reward,success_rate,collision_rate,mean_steps,mean_final_distance
kan,5000,31.85283024543525,57.92715804448569,0.35,0.05,133.35,2.6923812881112097
kan,10000,26.129838492900138,45.18819119918323,0.25,0.0,156.7,3.1818730406463147
kan,15000,47.855943219564864,51.30563573400054,0.45,0.0,121.6,1.8067683139815927
kan,20000,42.56648911795021,49.93404506844211,0.4,0.0,128.4,2.0282224155962467
kan,25000,78.20514230525494,45.80842124222553,0.75,0.0,64.9,2.0245692282915115
kan,30000,88.9395781944692,38.507105222736534,0.85,0.0,49.5,1.4441333390772342
kan,35000,94.90049097412825,30.761339949253763,0.9,0.0,40.6,0.5722205594182015
kan,40000,84.62660358497502,51.345200941359224,0.85,0.05,39.35,0.8586079485714435
kan,45000,84.66809311763197,51.400588083462736,0.85,0.05,40.3,0.8076184159144759
kan,50000,84.61634254321456,51.434745285674886,0.85,0.05,39.75,0.8648689903318882
kan,55000,84.11093072962763,42.02006578565902,0.8,0.0,55.55,1.2122808039188384
kan,60000,78.23544136224686,46.35274636360237,0.75,0.0,64.4,1.9992701712995768
kan,65000,67.26633801393211,50.62800255315752,0.65,0.0,83.0,2.782373519614339
kan,70000,78.11280564045906,46.29340789749891,0.75,0.0,64.4,2.121905893087387
kan,75000,72.66376504287123,48.91431785207984,0.7,0.0,74.0,2.4749464906752108
kan,80000,78.52622017532588,45.8555035669893,0.75,0.0,68.0,1.6724913582205772
kan,85000,67.65694576686622,50.86603501147866,0.65,0.0,88.4,2.3377657666802407
kan,90000,67.67362568703292,50.05671837216158,0.65,0.0,83.8,2.36708584651351
kan,95000,51.92698700243236,52.192383068028974,0.5,0.0,109.1,2.8607245311141014
kan,100000,51.561243910670285,52.69505553830307,0.5,0.0,110.2,3.2154676228761674
kan,100000,51.561243910670285,52.69505553830307,0.5,0.0,110.2,3.2154676228761674
