model_type,training_step,mean_reward,std_reward,success_rate,collision_rate,mean_steps,mean_final_distance
mlp,5000,131.3611641779255,218.89302051400355,0.15,0.5,118.1,5.487963375449181
mlp,10000,81.6340841139257,91.59487720030289,0.75,0.25,10.2,2.435822457447648
mlp,15000,91.68667627608775,86.18940469127372,0.8,0.2,10.3,2.289901243150234
mlp,20000,92.00408721819518,86.17021683464716,0.8,0.2,10.25,2.236945741251111
mlp,25000,59.3766237924695,102.27795214549657,0.65,0.35,9.6,3.00917746797204
mlp,30000,-16.62837871992588,40.20341652447366,0.05,0.0,35.05,9.351803752779961
mlp,35000,84.58579763746259,96.49195231358743,0.75,0.25,13.55,2.6298608370125294
mlp,40000,92.29876255294684,107.88696022560994,0.7,0.25,26.05,2.5411914896219967
mlp,45000,25.127863579139348,131.36061592442448,0.05,0.45,78.35,8.420343428850174
mlp,50000,94.39502962476023,111.70389664091114,0.6,0.2,45.8,3.07197537496686
mlp,55000,42.737548749059435,107.3103229144949,0.55,0.4,13.05,3.920821876823902
mlp,60000,129.66949792549056,135.532120621249,0.65,0.2,54.75,2.691505540907383
mlp,65000,61.35710342779754,74.3014903566176,0.5,0.0,26.5,4.452312689647078
mlp,70000,117.50126746460822,122.61892031726079,0.65,0.15,45.75,2.702704102545977
mlp,75000,86.56472528505337,101.66883017110949,0.55,0.05,39.4,4.068233951926231
mlp,80000,62.87396491491795,106.97880921528323,0.25,0.1,72.7,4.713203217089176
mlp,85000,84.17786312004924,97.60742195588686,0.5,0.1,54.8,3.896792285516858
mlp,90000,105.17474843358994,80.79030196540566,0.8,0.1,18.3,2.037115015089512
mlp,95000,143.78998902225504,108.49964566284937,0.6,0.15,96.95,2.819469599425793
mlp,100000,125.95584767901921,121.0340900799995,0.55,0.1,77.45,3.3222686871886253
mlp,100000,125.95584767901921,121.0340900799995,0.55,0.1,77.45,3.3222686871886253
